,Year,MM/DD,Day,GWZ1,GWZ2,GWZ3,GWZ4,GWZ5,GWZ6,Zz,Sz,Spieleinsatz,I,6T_Zz,II,6T,III,5T_Zz,IV,5T,V,4T_Zz,VI,4T,VII,3T_Zz,VIII,3T,IX,2T_Zz,Total_payout,Date,gwzx_sum
52,1991,05/01/,SA,17,47,23,5,8,40,20,0,52808976.0,0,0.0,8,495084.1,36,55009.332,1814,3275.068,0,0.0,99220,59.87206,0,0.0,1831883,4.6527395,0,0.0,26345762.38406849,1991-01-05,140
53,1991,12/01/,SA,2,15,22,39,41,37,46,0,53734716.0,0,0.0,6,671683.9,20,100752.555,1270,4759.9565,0,0.0,75525,80.016884,0,0.0,1522120,5.726448,0,0.0,26849915.42578888,1991-01-12,156
54,1991,19/01/,SA,8,16,10,2,5,6,41,0,53526636.0,0,0.0,28,143374.88,20,100362.4,4560,1320.5087,0,0.0,148938,40.39191,0,0.0,2051782,4.192578,0,0.0,26661410.1076231,1991-01-19,47
55,1991,26/01/,SA,47,9,19,34,26,43,25,0,53406970.0,0,0.0,15,267034.8,58,34530.332,2725,2204.836,0,0.0,120051,50.004166,0,0.0,1990723,4.345965,0,0.0,26671121.766120434,1991-01-26,178
56,1991,02/02/,SA,33,15,49,43,5,48,4,0,54528040.0,0,0.0,12,340800.25,21,97371.5,1431,4286.758,0,0.0,81378,75.36414,0,0.0,1655641,5.3174157,0,0.0,27205469.659559727,1991-02-02,193
57,1991,09/02/,SA,34,49,4,31,38,8,20,0,52700164.0,0,0.0,4,988127.94,43,45959.4,1072,5530.5215,0,0.0,71732,82.624466,0,0.0,1604114,5.3174157,0,0.0,26314044.09611225,1991-02-09,164
58,1991,16/02/,SA,11,42,37,5,44,38,39,0,52375630.0,0,0.0,6,654695.4,16,122755.37,966,6099.639,0,0.0,76745,76.74464,0,0.0,1659935,5.1129003,0,0.0,26161358.772925854,1991-02-16,177
59,1991,23/02/,SA,5,33,30,15,6,19,31,0,53213224.0,0,0.0,11,362817.38,46,43380.297,2452,2441.461,0,0.0,126297,47.396584,0,0.0,2173136,3.936933,0,0.0,26514484.233673096,1991-02-23,108
60,1991,02/03/,SA,2,33,36,6,40,4,31,0,56365510.0,0,0.0,6,704568.9,21,100652.66,1250,5072.866,0,0.0,78543,80.73269,0,0.0,1682033,5.4196744,0,0.0,28139260.563686848,1991-03-02,121
61,1991,09/03/,SA,21,13,27,16,43,22,39,0,52930870.0,0,0.0,7,567116.5,38,52234.41,1121,5311.9453,0,0.0,80493,73.93254,0,0.0,1649405,5.164029,0,0.0,26378041.248375893,1991-03-09,142
62,1991,16/03/,SA,49,20,36,24,3,5,28,0,52473256.0,0,0.0,5,787098.8,27,72879.484,1538,3838.2542,0,0.0,90047,65.54738,0,0.0,1762390,4.806126,0,0.0,26179088.427905083,1991-03-16,137
63,1991,23/03/,SA,37,24,18,49,31,43,45,0,52231868.0,0,0.0,23,170321.28,38,51544.58,2481,2368.3977,0,0.0,102177,57.468998,0,0.0,1788319,4.703868,0,0.0,26036104.308922768,1991-03-23,202
64,1991,30/03/,SA,5,42,20,4,47,49,15,0,51942640.0,0,0.0,1,3895698.0,18,108213.81,1068,5471.468,0,0.0,70044,83.3914,0,0.0,1523420,5.521932,0,0.0,25940363.4906559,1991-03-30,167
65,1991,06/04/,SA,11,26,49,27,20,38,46,0,51918990.0,0,0.0,7,556274.94,39,49922.1,1311,4455.279,0,0.0,86384,67.59254,0,0.0,1748193,4.806126,0,0.0,25922706.7874341,1991-04-06,171
66,1991,13/04/,SA,31,26,33,10,23,47,3,0,52274136.0,0,0.0,8,490070.0,62,31617.408,2246,2618.3162,0,0.0,113059,51.99819,0,0.0,1994105,4.243707,0,0.0,26102838.68541479,1991-04-13,170
67,1991,20/04/,SA,17,49,38,10,12,37,14,0,53501236.0,0,0.0,9,445843.62,25,80251.83,1351,4455.1255,0,0.0,92664,64.93383,0,0.0,1981223,4.345965,0,0.0,26665116.944230556,1991-04-20,163
68,1991,27/04/,SA,46,35,34,24,14,43,8,0,53354570.0,0,0.0,4,1000398.2,39,51302.434,1540,3897.615,0,0.0,87938,68.206085,0,0.0,1548965,5.573061,0,0.0,26635097.881296158,1991-04-27,196
69,1991,04/05/,SA,19,30,35,21,36,43,40,0,52297230.0,0,0.0,7,560327.44,28,70040.9,1214,4846.3135,0,0.0,73235,80.32366,0,0.0,1535649,5.521932,0,0.0,26129114.697492123,1991-05-04,184
70,1991,11/05/,SA,22,10,7,44,28,31,8,0,50900510.0,0,0.0,8,477192.25,34,56140.258,2104,2721.5967,0,0.0,103822,55.117065,0,0.0,1826685,4.4993525,0,0.0,25393809.786244392,1991-05-11,142
71,1991,18/05/,SA,46,16,4,21,22,36,47,0,52211212.0,0,0.0,4,978960.1,17,115171.76,1657,3544.7737,0,0.0,84782,69.2798,0,0.0,1576813,5.368545,0,0.0,26086322.04650259,1991-05-18,145
72,1991,25/05/,SA,38,1,42,40,20,41,14,0,50959132.0,0,0.0,4,955483.6,19,100577.19,978,5861.838,0,0.0,74834,76.59125,0,0.0,1424284,5.7775774,0,0.0,25426318.98920822,1991-05-25,182
73,1991,01/06/,SA,40,11,9,13,7,32,30,0,50652144.0,0,0.0,12,316575.84,56,33918.83,2224,2562.1765,0,0.0,132890,42.846104,0,0.0,2223369,3.681288,0,0.0,25275325.410866022,1991-06-01,112
74,1991,08/06/,SA,4,28,36,16,22,30,5,0,56323160.0,0,0.0,9,469359.62,31,68132.82,2323,2727.63,0,0.0,114748,55.219322,0,0.0,1709781,5.3174157,0,0.0,28100561.414143085,1991-06-08,136
75,1991,15/06/,SA,34,28,26,1,48,25,6,0,52159744.0,0,0.0,4,977995.1,17,115058.25,605,9699.121,0,0.0,58129,100.92864,0,0.0,1417483,5.9309645,0,0.0,26009861.36810398,1991-06-15,162
76,1991,22/06/,SA,32,42,39,3,21,48,2,0,51712436.0,0,0.0,8,484804.06,44,44073.094,2507,2320.541,0,0.0,117495,49.492874,0,0.0,1927028,4.345965,0,0.0,25825206.264787674,1991-06-22,185
77,1991,29/06/,SA,5,4,27,47,24,42,45,0,51968670.0,0,0.0,4,974412.56,23,84731.49,1760,3321.8513,0,0.0,97398,60.025448,0,0.0,1826781,4.60161,0,0.0,25945425.512895584,1991-06-29,149
78,1991,06/07/,SA,3,41,5,10,13,38,27,0,51448470.0,0,0.0,9,428737.22,84,22968.016,1637,3535.6729,0,0.0,102337,56.548676,0,0.0,1941639,4.294836,0,0.0,25701887.709939957,1991-07-06,110
79,1991,13/07/,SA,19,1,15,31,32,43,26,0,49759590.0,0,0.0,4,932992.4,24,77749.31,1408,3975.7913,0,0.0,86795,64.47367,0,0.0,1720999,4.6527395,0,0.0,24799219.434189796,1991-07-13,141
80,1991,20/07/,SA,1,33,4,26,47,22,44,0,50386356.0,0,0.0,2,1889488.2,24,78728.64,931,6088.544,0,0.0,68401,82.82898,0,0.0,1482108,5.521932,0,0.0,25186583.092386246,1991-07-20,133
81,1991,27/07/,SA,12,46,39,41,5,37,45,0,50089252.0,0,0.0,5,751338.75,21,89445.08,1325,4252.8594,0,0.0,87388,64.47367,0,0.0,1686946,4.806126,0,0.0,25011979.450066566,1991-07-27,180
82,1991,03/08/,SA,48,2,27,31,40,38,11,0,50503416.0,0,0.0,2,1893878.0,77,24595.81,1325,4287.985,0,0.0,91492,62.07061,0,0.0,1760456,4.6527395,0,0.0,25233120.823265076,1991-08-03,186
83,1991,10/08/,SA,23,10,41,22,25,7,40,0,50238316.0,0,0.0,3,1255958.0,37,50917.176,1593,3547.8926,0,0.0,97814,57.775772,0,0.0,1886373,4.294836,0,0.0,25056544.50594902,1991-08-10,128
84,1991,17/08/,SA,8,47,7,29,10,39,40,0,50121210.0,0,0.0,4,939772.6,20,93977.25,1107,5093.573,0,0.0,72811,77.4093,0,0.0,1545542,5.2662873,0,0.0,25052737.99704647,1991-08-17,140
85,1991,24/08/,SA,31,26,36,41,32,7,21,0,49994150.0,0,0.0,2,1874780.8,52,36053.465,1151,4886.4497,0,0.0,88609,63.45109,0,0.0,1785954,4.4993525,0,0.0,24906619.589658737,1991-08-24,173
86,1991,31/08/,SA,40,9,7,32,38,28,34,0,50807308.0,0,0.0,7,544363.94,31,61460.434,1882,3037.0627,0,0.0,107215,53.276417,0,0.0,1953206,4.192578,0,0.0,25332572.303694725,1991-08-31,154
87,1991,07/09/,SA,32,44,49,48,34,45,4,0,53660924.0,0,0.0,16,251535.56,12,167690.34,2352,2566.6758,0,0.0,131835,45.760456,0,0.0,1802362,4.806126,0,0.0,26768883.37225437,1991-09-07,252
88,1991,14/09/,SA,33,35,37,40,24,32,15,0,52246656.0,0,0.0,10,391849.9,27,72564.79,2031,2894.004,0,0.0,106789,55.014805,0,0.0,1940108,4.345965,0,0.0,26062087.58174324,1991-09-14,201
89,1991,21/09/,SA,18,9,19,46,40,17,22,0,51651148.0,0,0.0,4,968458.94,21,92234.164,1938,2998.307,0,0.0,118517,48.981586,0,0.0,2192607,3.7835462,0,0.0,25722452.523441553,1991-09-21,149
90,1991,28/09/,SA,18,3,12,23,35,43,39,0,51948110.0,0,0.0,19,205058.33,114,17088.182,2537,2303.566,0,0.0,118924,49.134968,0,0.0,1956788,4.294836,0,0.0,25935718.21988678,1991-09-28,134
91,1991,05/10/,SA,23,17,16,12,31,36,32,0,51655460.0,0,0.0,2,1937079.8,27,71743.66,1540,3773.5247,0,0.0,95357,60.894638,0,0.0,1861372,4.4993525,0,0.0,25804164.87214279,1991-10-05,135
92,1991,12/10/,SA,9,14,13,21,8,41,30,0,54917850.0,0,0.0,13,316833.75,30,68647.28,1315,4698.295,0,0.0,84236,73.318985,0,0.0,1808369,4.9083843,0,0.0,27408783.079008102,1991-10-12,106
93,1991,19/10/,SA,24,39,38,4,34,33,11,0,53855896.0,0,0.0,3,1346397.4,56,36064.2,1638,3698.8765,0,0.0,114634,52.81626,0,0.0,2094360,4.1414495,0,0.0,26845772.300685883,1991-10-19,172
94,1991,26/10/,SA,17,41,25,4,8,2,1,0,53222510.0,0,0.0,16,249480.48,35,57024.07,2438,2455.8792,0,0.0,125196,47.805614,0,0.0,2132522,4.0391912,0,0.0,26573699.483327866,1991-10-26,97
95,1991,02/11/,SA,4,24,45,23,32,18,31,0,51628856.0,0,0.0,8,484020.53,31,62454.227,2466,2355.3086,0,0.0,124913,46.47626,0,0.0,2053231,4.0391912,0,0.0,25715318.154553413,1991-11-02,146
96,1991,09/11/,SA,26,9,18,2,14,21,13,0,54762470.0,0,0.0,6,684530.94,37,55502.473,2428,2537.3792,0,0.0,118596,51.947063,0,0.0,2061783,4.294836,0,0.0,27337267.570825577,1991-11-09,90
97,1991,16/11/,SA,32,31,2,8,43,29,39,0,53780910.0,0,0.0,2,2016784.1,16,126048.99,1058,5718.6255,0,0.0,70592,85.69221,0,0.0,1534297,5.675319,0,0.0,26857467.406508923,1991-11-16,145
98,1991,23/11/,SA,26,11,40,36,3,9,16,0,53107972.0,0,0.0,10,398309.75,79,25209.46,2604,2294.3628,0,0.0,131649,45.35142,0,0.0,2238087,3.834675,0,0.0,26501971.328576803,1991-11-23,125
99,1991,30/11/,SA,15,6,12,28,16,48,29,0,54658656.0,0,0.0,8,512424.88,48,42702.07,1578,3896.7456,0,0.0,96016,64.01351,0,0.0,1795147,4.9083843,0,0.0,27255755.668252945,1991-11-30,125
100,1991,07/12/,SA,6,49,16,42,41,17,45,7,75070856.0,1,1501417.0,3,1501417.0,22,102369.31,1553,4833.889,0,0.0,85968,87.27721,108067,48.62368,1758446,5.1129003,0,0.0,37513243.86678982,1991-12-07,171
101,1991,14/12/,SA,37,43,1,44,39,47,42,4,69024310.0,1,2881903.5,3,1380486.4,73,28366.115,2011,3432.2898,0,0.0,93779,73.57463,113159,42.692715,1518090,5.4196744,0,0.0,35954797.51695347,1991-12-14,211
102,1991,21/12/,SA,49,32,30,45,12,8,4,9,71821100.0,1,4318325.5,4,1077316.4,48,44888.145,1461,4915.8486,0,0.0,93181,77.05141,154021,32.620304,1702321,5.061771,0,0.0,38784974.71913099,1991-12-21,176
103,1991,28/12/,SA,46,17,43,45,35,36,44,1,66774652.0,1,5653818.5,2,2003239.5,70,28617.67,1330,5020.6123,0,0.0,75936,87.89075,126066,37.068527,1415099,5.6241903,0,0.0,37646887.59453297,1991-12-28,222
104,1992,04/01/,SA,27,11,18,16,32,39,41,0,67259940.0,3,2333005.5,8,504449.47,77,26205.146,3227,2084.2737,0,0.0,173905,38.653522,176185,26.689339,2104945,3.7835462,0,0.0,39166818.34049201,1992-01-04,143
105,1992,11/01/,SA,45,39,1,3,21,18,49,6,70911096.0,1,1890962.5,2,1890962.5,42,50650.742,1252,5663.815,0,0.0,86337,82.11318,137199,36.1482,1624449,5.215158,0,0.0,35411975.98085928,1992-01-11,127
